;Auctions;Order;obname;agent;Oid;type;dir;price;quty;validity
202;Auctions;Order;lvmh;moha3;11.0;L;A;5.28;38.0;2.0
203;Auctions;Order;lvmh;moha3;10.0;L;A;5.32;58.0;1.0
204;Auctions;Order;lvmh;bhd;9.0;L;A;5.42;5407.0;-1.0
205;Auctions;##############################;;;;;;;;
206;Auctions;##############################;;;;;;;;
207;Auctions;##############################;;;;;;;;
208;Auctions;##############################;;;;;;;;
209;Auctions;##############################;;;;;;;;
210;Auctions;Order;lvmh;mm;133.0;L;B;5.25;369.0;-1.0
211;Auctions;Order;lvmh;moha1;11.0;L;B;5.24;670.0;1.0
212;Auctions;Order;lvmh;moha2;11.0;L;B;5.21;8.0;1.0
213;Auctions;Order;lvmh;saad;10.0;L;B;5.18;1939.0;-1.0
214;Auctions;Order;lvmh;saad;6.0;L;B;4.91;813.0;-1.0
215;Auctions;##############################;;;;;;;;
216;Auctions;##############################;;;;;;;;
217;Auctions;##############################;;;;;;;;
218;Auctions;##############################;;;;;;;;
219;Auctions;##############################;;;;;;;;
220;Auctions;Order;lvmh;mm;144.0;L;A;5.19;2613.0;-1.0
221;Auctions;Order;lvmh;moha1;12.0;L;A;5.21;693.0;1.0
222;Auctions;Order;lvmh;moha2;12.0;L;A;5.22;14.0;1.0
223;Auctions;Order;lvmh;moha3;12.0;L;A;5.24;8.0;1.0
224;Auctions;Order;lvmh;moha3;11.0;L;A;5.28;38.0;1.0
225;Auctions;Order;lvmh;bhd;9.0;L;A;5.42;5407.0;-1.0
226;Auctions;##############################;;;;;;;;
227;Auctions;##############################;;;;;;;;
228;Auctions;##############################;;;;;;;;
229;Auctions;##############################;;;;;;;;
230;Auctions;Order;lvmh;mm;145.0;L;B;5.18;699.0;-1.0
231;Auctions;Order;lvmh;saad;11.0;L;B;5.15;2588.0;-1.0
232;Auctions;Order;lvmh;saad;6.0;L;B;4.91;813.0;-1.0
233;Auctions;##############################;;;;;;;;
234;Auctions;##############################;;;;;;;;
235;Auctions;##############################;;;;;;;;
236;Auctions;##############################;;;;;;;;
237;Auctions;##############################;;;;;;;;
238;Auctions;##############################;;;;;;;;
239;Auctions;##############################;;;;;;;;
240;Auctions;Order;lvmh;mm;156.0;L;A;5.12;48.0;-1.0
241;Auctions;Order;lvmh;moha3;13.0;L;A;5.19;23.0;2.0
242;Auctions;Order;lvmh;moha1;13.0;L;A;5.19;324.0;2.0
243;Auctions;Order;lvmh;bhd;9.0;L;A;5.42;5407.0;-1.0
244;Auctions;##############################;;;;;;;;
245;Auctions;##############################;;;;;;;;
246;Auctions;##############################;;;;;;;;
247;Auctions;##############################;;;;;;;;
248;Auctions;##############################;;;;;;;;
249;Auctions;##############################;;;;;;;;
250;Auctions;Order;lvmh;mm;157.0;L;B;5.1;23.0;-1.0
251;Auctions;Order;lvmh;moha2;13.0;L;B;5.03;48.0;2.0
252;Auctions;Order;lvmh;saad;12.0;L;B;4.99;2411.0;-1.0
253;Auctions;Order;lvmh;saad;6.0;L;B;4.91;813.0;-1.0
254;Auctions;##############################;;;;;;;;
255;Auctions;##############################;;;;;;;;
256;Auctions;##############################;;;;;;;;
257;Auctions;##############################;;;;;;;;
258;Auctions;##############################;;;;;;;;
259;Auctions;##############################;;;;;;;;
260;Auctions;Order;lvmh;mm;168.0;L;A;5.1;1056.0;-1.0
261;Auctions;Order;lvmh;moha2;14.0;L;A;5.16;1.0;2.0
262;Auctions;Order;lvmh;moha3;13.0;L;A;5.19;23.0;1.0
263;Auctions;Order;lvmh;moha1;13.0;L;A;5.19;324.0;1.0
264;Auctions;Order;lvmh;bhd;9.0;L;A;5.42;5407.0;-1.0
265;Auctions;##############################;;;;;;;;
266;Auctions;##############################;;;;;;;;
267;Auctions;##############################;;;;;;;;
268;Auctions;##############################;;;;;;;;
269;Auctions;##############################;;;;;;;;
270;Auctions;Order;lvmh;mm;169.0;L;B;5.07;1.0;-1.0
271;Auctions;Order;lvmh;saad;13.0;L;B;5.03;1046.0;-1.0
272;Auctions;Order;lvmh;saad;12.0;L;B;4.99;2411.0;-1.0
273;Auctions;Order;lvmh;saad;6.0;L;B;4.91;813.0;-1.0
274;Auctions;##############################;;;;;;;;
275;Auctions;##############################;;;;;;;;
276;Auctions;##############################;;;;;;;;
277;Auctions;##############################;;;;;;;;
278;Auctions;##############################;;;;;;;;
279;Auctions;##############################;;;;;;;;
280;Auctions;Order;lvmh;mm;180.0;L;A;5.08;72.0;-1.0
281;Auctions;Order;lvmh;moha1;15.0;L;A;5.11;205.0;2.0
282;Auctions;Order;lvmh;bhd;14.0;L;A;5.12;645.0;-1.0
283;Auctions;Order;lvmh;moha2;14.0;L;A;5.16;1.0;1.0
284;Auctions;Order;lvmh;bhd;9.0;L;A;5.42;5407.0;-1.0
285;Auctions;##############################;;;;;;;;
286;Auctions;##############################;;;;;;;;
287;Auctions;##############################;;;;;;;;
288;Auctions;##############################;;;;;;;;
289;Auctions;##############################;;;;;;;;
