;Unnamed: 0;Unnamed: 0.1;Tick;numtick;obname;bestask;bestbid;price;quty;volatility;cum_quty;cum_diff;vola_diff
83;83;83;Tick;84;lvmh;0.017;0.016;0.015;417715;0.030124279748816495;15203290;4.886725807678959;-1.8139171741411424
84;84;84;Tick;85;lvmh;0.017;0.016;0.016;93800;0.029953492349953;15297090;4.855306081167551;-1.850840530812261
85;85;85;Tick;86;lvmh;0.017;0.016;0.016;199800;0.029882908748883844;15496890;4.78970874853882;-2.219865105984306
86;86;86;Tick;87;lvmh;0.017;0.016;0.016;1000;0.02981133562714263;15497890;4.789384891140447;-2.5790087757873548
87;87;87;Tick;88;lvmh;0.017;0.016;0.016;25000;0.02973887964112878;15522890;4.781302665667919;-2.268515366418027
88;88;88;Tick;89;lvmh;0.017;0.016;0.016;100000;0.029665639328014005;15622890;4.749244714611446;-2.3913405307243942
89;89;89;Tick;90;lvmh;0.017;0.016;0.015;185288;0.02959170576447177;15808178;4.727643288201625;-2.51026732497067
90;90;90;Tick;91;lvmh;0.017;0.016;0.016;20000;0.0294320436515733;15828178;4.721387541457539;-2.5337437751305587
91;91;91;Tick;92;lvmh;0.017;0.016;0.016;100000;0.029359162787117025;15928178;4.690355508778729;-2.851772147645988
92;92;92;Tick;93;lvmh;0.017;0.016;0.016;110000;0.029285748080108236;16038178;4.656688044766829;-2.9570355613434653
93;93;93;Tick;94;lvmh;0.017;0.016;0.016;140000;0.029211869733608824;16178178;4.670824295993257;-3.0591227387520816
94;94;94;Tick;95;lvmh;0.017;0.016;0.016;60000;0.02913759279106975;16238178;4.708888557445492;-3.158175447466349
95;95;95;Tick;96;lvmh;0.016;0.015;0.014;1063864;0.029062977530424;17302042;5.001505349680806;-3.2543271334929873
96;96;96;Tick;97;lvmh;0.016;0.015;0.015;110000;0.028931861875429787;17412042;5.064206855549675;-1.7554257357643712
97;97;97;Tick;98;lvmh;0.016;0.014;0.014;517493;0.028785257777065244;17929535;5.111543358287761;-1.1063477523881988
98;98;98;Tick;99;lvmh;0.016;0.014;0.014;10000;0.028658248062125538;17939535;5.108548481871557;-0.5438011680879791
99;99;99;Tick;100;lvmh;0.016;0.014;0.014;100000;0.028532845521466038;18039535;5.262907598666534;-0.0032412284264101456
100;100;100;Tick;101;lvmh;0.016;0.014;0.014;50000;0.028409018343341717;18089535;5.361905607284592;1.2698129602109218
101;101;101;Tick;102;lvmh;0.016;0.014;0.014;49959;0.02828673551226075;18139494;5.6194675966563;1.7521405898873144
102;102;102;Tick;103;lvmh;0.016;0.014;0.014;249000;0.028165966788123706;18388494;5.619261292723661;2.2169122948284845
103;103;103;Tick;104;lvmh;0.016;0.014;0.014;100000;0.02804668268567004;18488494;5.666911109171727;2.66508430563042
104;104;104;Tick;105;lvmh;0.016;0.014;0.014;10000;0.027928854454268404;18498494;5.663674161077793;3.0975437830047827
105;105;105;Tick;106;lvmh;0.016;0.014;0.014;372264;0.027812454058076242;18870758;5.568158207809985;3.5151150055661575
106;106;106;Tick;107;lvmh;0.016;0.014;0.014;22359;0.027697454156591948;18893117;5.681652787493652;3.5481065176449196
107;107;107;Tick;108;lvmh;0.016;0.014;0.014;39800;0.02758382808561595;18932917;5.831791611576561;4.585528577625828
108;108;108;Tick;109;lvmh;0.016;0.014;0.015;10000;0.02747154983863341;18942917;5.8285335602728345;4.610839817399053
109;109;109;Tick;110;lvmh;0.016;0.014;0.014;200;0.027350259546258568;18943117;5.828468436377975;4.671627103648397
110;110;110;Tick;111;lvmh;0.016;0.014;0.014;32562;0.02724114045173085;18975679;5.818575400021726;4.69411679431902
111;111;111;Tick;112;lvmh;0.016;0.014;0.014;190000;0.027133280410132958;19165679;6.016272547919151;4.644606364694183
112;112;112;Tick;113;lvmh;0.016;0.014;0.014;10000;0.02702665636811469;19175679;6.012946445206322;7.5329883731097915
113;113;113;Tick;114;lvmh;0.016;0.014;0.014;9559;0.026921245822061915;19185238;6.007187292070186;10.123279590906908
114;114;114;Tick;115;lvmh;0.016;0.014;0.014;10000;0.026817026803212185;19195238;6.003869880220149;10.877847531480354
115;115;115;Tick;116;lvmh;0.016;0.014;0.014;100000;0.026713977863139542;19295238;6.243465171432;10.841289390453461
